Gene	Vogelstein	COSMIC_CGC	OncoKB	IntOGen
BG_00022	0	0	0	0
BG_00023	0	0	0	0
BG_00024	0	0	0	0
BG_00025	0	0	0	0
BG_00026	0	0	0	0
BG_00027	0	0	0	0
BG_00028	0	0	0	0
BG_00029	0	0	0	0
BG_00030	0	0	0	0
BG_00031	0	0	0	0
BG_00032	0	0	0	0
BG_00033	0	0	0	0
BG_00034	0	0	0	0
BG_00035	0	0	0	0
BG_00036	0	0	0	0
BG_00037	0	0	0	0
BG_00038	0	0	0	0
BG_00039	0	0	0	0
BG_00040	0	0	0	0
BG_00041	0	0	0	0
BG_00042	0	0	0	0
BG_00043	0	0	0	0
BG_00044	0	0	0	0
BG_00045	0	0	0	0
BG_00046	0	0	0	0
BG_00047	0	0	0	0
BG_00048	0	0	0	0
BG_00049	0	0	0	0
BG_00050	0	0	0	0
BG_00051	0	0	0	0
BG_00052	0	0	0	0
BG_00053	0	0	0	0
BG_00054	0	0	0	0
BG_00055	0	0	0	0
BG_00056	0	0	0	0
BG_00057	0	0	0	0
BG_00058	0	0	0	0
BG_00059	0	0	0	0
BG_00060	0	0	0	0
BG_00061	0	0	0	0
BG_00062	0	0	0	0
BG_00063	0	0	0	0
BG_00064	0	0	0	0
BG_00065	0	0	0	0
BG_00066	0	0	0	0
BG_00067	0	0	0	0
BG_00068	0	0	0	0
BG_00069	0	0	0	0
BG_00070	0	0	0	0
BG_00071	0	0	0	0
BG_00072	0	0	0	0
BG_00073	0	0	0	0
BG_00074	0	0	0	0
BG_00075	0	0	0	0
BG_00076	0	0	0	0
BG_00077	0	0	0	0
BG_00078	0	0	0	0
BG_00079	0	0	0	0
BG_00080	0	0	0	0
BG_00081	0	0	0	0
BG_00082	0	0	0	0
BG_00083	0	0	0	0
BG_00084	0	0	0	0
BG_00085	0	0	0	0
BG_00086	0	0	0	0
BG_00087	0	0	0	0
BG_00088	0	0	0	0
BG_00089	0	0	0	0
BG_00090	0	0	0	0
BG_00091	0	0	0	0
BG_00092	0	0	0	0
BG_00093	0	0	0	0
BG_00094	0	0	0	0
BG_00095	0	0	0	0
BG_00096	0	0	0	0
BG_00097	0	0	0	0
BG_00098	0	0	0	0
BG_00099	0	0	0	0
BG_00100	0	0	0	0
BG_00101	0	0	0	0
BG_00102	0	0	0	0
BG_00103	0	0	0	0
BG_00104	0	0	0	0
BG_00105	0	0	0	0
BG_00106	0	0	0	0
BG_00107	0	0	0	0
BG_00108	0	0	0	0
BG_00109	0	0	0	0
BG_00110	0	0	0	0
BG_00111	0	0	0	0
BG_00112	0	0	0	0
BG_00113	0	0	0	0
BG_00114	0	0	0	0
BG_00115	0	0	0	0
BG_00116	0	0	0	0
BG_00117	0	0	0	0
BG_00118	0	0	0	0
BG_00119	0	0	0	0
BG_00120	0	0	0	0
BG_00121	0	0	0	0
BG_00122	0	0	0	0
BG_00123	0	0	0	0
BG_00124	0	0	0	0
BG_00125	0	0	0	0
BG_00126	0	0	0	0
BG_00127	0	0	0	0
BG_00128	0	0	0	0
BG_00129	0	0	0	0
BG_00130	0	0	0	0
BG_00131	0	0	0	0
BG_00132	0	0	0	0
BG_00133	0	0	0	0
BG_00134	0	0	0	0
BG_00135	0	0	0	0
BG_00136	0	0	0	0
BG_00137	0	0	0	0
BG_00138	0	0	0	0
BG_00139	0	0	0	0
BG_00140	0	0	0	0
BG_00141	0	0	0	0
BG_00142	0	0	0	0
BG_00143	0	0	0	0
BG_00144	0	0	0	0
BG_00145	0	0	0	0
BG_00146	0	0	0	0
BG_00147	0	0	0	0
BG_00148	0	0	0	0
BG_00149	0	0	0	0
BG_00150	0	0	0	0
BG_00151	0	0	0	0
BG_00152	0	0	0	0
BG_00153	0	0	0	0
BG_00154	0	0	0	0
BG_00155	0	0	0	0
BG_00156	0	0	0	0
BG_00157	0	0	0	0
BG_00158	0	0	0	0
BG_00159	0	0	0	0
BG_00160	0	0	0	0
BG_00161	0	0	0	0
BG_00162	0	0	0	0
BG_00163	0	0	0	0
BG_00164	0	0	0	0
BG_00165	0	0	0	0
BG_00166	0	0	0	0
BG_00167	0	0	0	0
BG_00168	0	0	0	0
BG_00169	0	0	0	0
BG_00170	0	0	0	0
BG_00171	0	0	0	0
BG_00172	0	0	0	0
BG_00173	0	0	0	0
BG_00174	0	0	0	0
BG_00175	0	0	0	0
BG_00176	0	0	0	0
BG_00177	0	0	0	0
BG_00178	0	0	0	0
BG_00179	0	0	0	0
BG_00180	0	0	0	0
BG_00181	0	0	0	0
BG_00182	0	0	0	0
BG_00183	0	0	0	0
BG_00184	0	0	0	0
BG_00185	0	0	0	0
BG_00186	0	0	0	0
BG_00187	0	0	0	0
BG_00188	0	0	0	0
BG_00189	0	0	0	0
BG_00190	0	0	0	0
BG_00191	0	0	0	0
BG_00192	0	0	0	0
BG_00193	0	0	0	0
BG_00194	0	0	0	0
BG_00195	0	0	0	0
BG_00196	0	0	0	0
BG_00197	0	0	0	0
BG_00198	0	0	0	0
BG_00199	0	0	0	0
BG_00200	0	0	0	0
BG_00201	0	0	0	0
BG_00202	0	0	0	0
BG_00203	0	0	0	0
BG_00204	0	0	0	0
BG_00205	0	0	0	0
BG_00206	0	0	0	0
BG_00207	0	0	0	0
BG_00208	0	0	0	0
BG_00209	0	0	0	0
BG_00210	0	0	0	0
BG_00211	0	0	0	0
BG_00212	0	0	0	0
BG_00213	0	0	0	0
BG_00214	0	0	0	0
BG_00215	0	0	0	0
BG_00216	0	0	0	0
BG_00217	0	0	0	0
BG_00218	0	0	0	0
BG_00219	0	0	0	0
BG_00220	0	0	0	0
BG_00221	0	0	0	0
BG_00222	0	0	0	0
BG_00223	0	0	0	0
BG_00224	0	0	0	0
BG_00225	0	0	0	0
BG_00226	0	0	0	0
BG_00227	0	0	0	0
BG_00228	0	0	0	0
BG_00229	0	0	0	0
BG_00230	0	0	0	0
BG_00231	0	0	0	0
BG_00232	0	0	0	0
BG_00233	0	0	0	0
BG_00234	0	0	0	0
BG_00235	0	0	0	0
BG_00236	0	0	0	0
BG_00237	0	0	0	0
BG_00238	0	0	0	0
BG_00239	0	0	0	0
BG_00240	0	0	0	0
BG_00241	0	0	0	0
BG_00242	0	0	0	0
BG_00243	0	0	0	0
BG_00244	0	0	0	0
BG_00245	0	0	0	0
BG_00246	0	0	0	0
BG_00247	0	0	0	0
BG_00248	0	0	0	0
BG_00249	0	0	0	0
BG_00250	0	0	0	0
BG_00251	0	0	0	0
BG_00252	0	0	0	0
BG_00253	0	0	0	0
BG_00254	0	0	0	0
BG_00255	0	0	0	0
BG_00256	0	0	0	0
BG_00257	0	0	0	0
BG_00258	0	0	0	0
BG_00259	0	0	0	0
BG_00260	0	0	0	0
BG_00261	0	0	0	0
BG_00262	0	0	0	0
BG_00263	0	0	0	0
BG_00264	0	0	0	0
BG_00265	0	0	0	0
BG_00266	0	0	0	0
BG_00267	0	0	0	0
BG_00268	0	0	0	0
BG_00269	0	0	0	0
BG_00270	0	0	0	0
BG_00271	0	0	0	0
BG_00272	0	0	0	0
BG_00273	0	0	0	0
BG_00274	0	0	0	0
BG_00275	0	0	0	0
BG_00276	0	0	0	0
BG_00277	0	0	0	0
BG_00278	0	0	0	0
BG_00279	0	0	0	0
BG_00280	0	0	0	0
BG_00281	0	0	0	0
BG_00282	0	0	0	0
BG_00283	0	0	0	0
BG_00284	0	0	0	0
BG_00285	0	0	0	0
BG_00286	0	0	0	0
BG_00287	0	0	0	0
BG_00288	0	0	0	0
BG_00289	0	0	0	0
BG_00290	0	0	0	0
BG_00291	0	0	0	0
BG_00292	0	0	0	0
BG_00293	0	0	0	0
BG_00294	0	0	0	0
BG_00295	0	0	0	0
BG_00296	0	0	0	0
BG_00297	0	0	0	0
BG_00298	0	0	0	0
BG_00299	0	0	0	0
BG_00300	0	0	0	0
BG_00301	0	0	0	0
BG_00302	0	0	0	0
BG_00303	0	0	0	0
BG_00304	0	0	0	0
BG_00305	0	0	0	0
BG_00306	0	0	0	0
BG_00307	0	0	0	0
BG_00308	0	0	0	0
BG_00309	0	0	0	0
BG_00310	0	0	0	0
BG_00311	0	0	0	0
BG_00312	0	0	0	0
BG_00313	0	0	0	0
BG_00314	0	0	0	0
BG_00315	0	0	0	0
BG_00316	0	0	0	0
BG_00317	0	0	0	0
BG_00318	0	0	0	0
BG_00319	0	0	0	0
BG_00320	0	0	0	0
BG_00321	0	0	0	0
BG_00322	0	0	0	0
BG_00323	0	0	0	0
BG_00324	0	0	0	0
BG_00325	0	0	0	0
BG_00326	0	0	0	0
BG_00327	0	0	0	0
BG_00328	0	0	0	0
BG_00329	0	0	0	0
BG_00330	0	0	0	0
BG_00331	0	0	0	0
BG_00332	0	0	0	0
BG_00333	0	0	0	0
BG_00334	0	0	0	0
BG_00335	0	0	0	0
BG_00336	0	0	0	0
BG_00337	0	0	0	0
BG_00338	0	0	0	0
BG_00339	0	0	0	0
BG_00340	0	0	0	0
BG_00341	0	0	0	0
BG_00342	0	0	0	0
BG_00343	0	0	0	0
BG_00344	0	0	0	0
BG_00345	0	0	0	0
BG_00346	0	0	0	0
BG_00347	0	0	0	0
BG_00348	0	0	0	0
BG_00349	0	0	0	0
BG_00350	0	0	0	0
BG_00351	0	0	0	0
BG_00352	0	0	0	0
BG_00353	0	0	0	0
BG_00354	0	0	0	0
BG_00355	0	0	0	0
BG_00356	0	0	0	0
BG_00357	0	0	0	0
BG_00358	0	0	0	0
BG_00359	0	0	0	0
BG_00360	0	0	0	0
BG_00361	0	0	0	0
BG_00362	0	0	0	0
BG_00363	0	0	0	0
BG_00364	0	0	0	0
BG_00365	0	0	0	0
BG_00366	0	0	0	0
BG_00367	0	0	0	0
BG_00368	0	0	0	0
BG_00369	0	0	0	0
BG_00370	0	0	0	0
BG_00371	0	0	0	0
BG_00372	0	0	0	0
BG_00373	0	0	0	0
BG_00374	0	0	0	0
BG_00375	0	0	0	0
BG_00376	0	0	0	0
BG_00377	0	0	0	0
BG_00378	0	0	0	0
BG_00379	0	0	0	0
BG_00380	0	0	0	0
BG_00381	0	0	0	0
BG_00382	0	0	0	0
BG_00383	0	0	0	0
BG_00384	0	0	0	0
BG_00385	0	0	0	0
BG_00386	0	0	0	0
BG_00387	0	0	0	0
BG_00388	0	0	0	0
BG_00389	0	0	0	0
BG_00390	0	0	0	0
BG_00391	0	0	0	0
BG_00392	0	0	0	0
BG_00393	0	0	0	0
BG_00394	0	0	0	0
BG_00395	0	0	0	0
BG_00396	0	0	0	0
BG_00397	0	0	0	0
BG_00398	0	0	0	0
BG_00399	0	0	0	0
BG_00400	0	0	0	0
BG_00401	0	0	0	0
BG_00402	0	0	0	0
BG_00403	0	0	0	0
BG_00404	0	0	0	0
BG_00405	0	0	0	0
BG_00406	0	0	0	0
BG_00407	0	0	0	0
BG_00408	0	0	0	0
BG_00409	0	0	0	0
BG_00410	0	0	0	0
BG_00411	0	0	0	0
BG_00412	0	0	0	0
BG_00413	0	0	0	0
BG_00414	0	0	0	0
BG_00415	0	0	0	0
BG_00416	0	0	0	0
BG_00417	0	0	0	0
BG_00418	0	0	0	0
BG_00419	0	0	0	0
BG_00420	0	0	0	0
BG_00421	0	0	0	0
BG_00422	0	0	0	0
BG_00423	0	0	0	0
BG_00424	0	0	0	0
BG_00425	0	0	0	0
BG_00426	0	0	0	0
BG_00427	0	0	0	0
BG_00428	0	0	0	0
BG_00429	0	0	0	0
BG_00430	0	0	0	0
BG_00431	0	0	0	0
BG_00432	0	0	0	0
BG_00433	0	0	0	0
BG_00434	0	0	0	0
BG_00435	0	0	0	0
BG_00436	0	0	0	0
BG_00437	0	0	0	0
BG_00438	0	0	0	0
BG_00439	0	0	0	0
BG_00440	0	0	0	0
BG_00441	0	0	0	0
BG_00442	0	0	0	0
BG_00443	0	0	0	0
BG_00444	0	0	0	0
BG_00445	0	0	0	0
BG_00446	0	0	0	0
BG_00447	0	0	0	0
BG_00448	0	0	0	0
BG_00449	0	0	0	0
BG_00450	0	0	0	0
BG_00451	0	0	0	0
BG_00452	0	0	0	0
BG_00453	0	0	0	0
BG_00454	0	0	0	0
BG_00455	0	0	0	0
BG_00456	0	0	0	0
BG_00457	0	0	0	0
BG_00458	0	0	0	0
BG_00459	0	0	0	0
BG_00460	0	0	0	0
BG_00461	0	0	0	0
BG_00462	0	0	0	0
BG_00463	0	0	0	0
BG_00464	0	0	0	0
BG_00465	0	0	0	0
BG_00466	0	0	0	0
BG_00467	0	0	0	0
BG_00468	0	0	0	0
BG_00469	0	0	0	0
BG_00470	0	0	0	0
BG_00471	0	0	0	0
BG_00472	0	0	0	0
BG_00473	0	0	0	0
BG_00474	0	0	0	0
BG_00475	0	0	0	0
BG_00476	0	0	0	0
BG_00477	0	0	0	0
BG_00478	0	0	0	0
BG_00479	0	0	0	0
BG_00480	0	0	0	0
BG_00481	0	0	0	0
BG_00482	0	0	0	0
BG_00483	0	0	0	0
BG_00484	0	0	0	0
BG_00485	0	0	0	0
BG_00486	0	0	0	0
BG_00487	0	0	0	0
BG_00488	0	0	0	0
BG_00489	0	0	0	0
BG_00490	0	0	0	0
BG_00491	0	0	0	0
BG_00492	0	0	0	0
BG_00493	0	0	0	0
BG_00494	0	0	0	0
BG_00495	0	0	0	0
BG_00496	0	0	0	0
BG_00497	0	0	0	0
BG_00498	0	0	0	0
BG_00499	0	0	0	0
BG_00500	0	0	0	0
BG_00501	0	0	0	0
BG_00502	0	0	0	0
BG_00503	0	0	0	0
BG_00504	0	0	0	0
BG_00505	0	0	0	0
BG_00506	0	0	0	0
BG_00507	0	0	0	0
BG_00508	0	0	0	0
BG_00509	0	0	0	0
BG_00510	0	0	0	0
BG_00511	0	0	0	0
BG_00512	0	0	0	0
BG_00513	0	0	0	0
BG_00514	0	0	0	0
BG_00515	0	0	0	0
BG_00516	0	0	0	0
BG_00517	0	0	0	0
BG_00518	0	0	0	0
BG_00519	0	0	0	0
BG_00520	0	0	0	0
BG_00521	0	0	0	0
BG_00522	0	0	0	0
BG_00523	0	0	0	0
BG_00524	0	0	0	0
BG_00525	0	0	0	0
BG_00526	0	0	0	0
BG_00527	0	0	0	0
BG_00528	0	0	0	0
BG_00529	0	0	0	0
BG_00530	0	0	0	0
BG_00531	0	0	0	0
BG_00532	0	0	0	0
BG_00533	0	0	0	0
BG_00534	0	0	0	0
BG_00535	0	0	0	0
BG_00536	0	0	0	0
BG_00537	0	0	0	0
BG_00538	0	0	0	0
BG_00539	0	0	0	0
BG_00540	0	0	0	0
BG_00541	0	0	0	0
BG_00542	0	0	0	0
BG_00543	0	0	0	0
BG_00544	0	0	0	0
BG_00545	0	0	0	0
BG_00546	0	0	0	0
BG_00547	0	0	0	0
BG_00548	0	0	0	0
BG_00549	0	0	0	0
BG_00550	0	0	0	0
BG_00551	0	0	0	0
BG_00552	0	0	0	0
BG_00553	0	0	0	0
BG_00554	0	0	0	0
BG_00555	0	0	0	0
BG_00556	0	0	0	0
BG_00557	0	0	0	0
BG_00558	0	0	0	0
BG_00559	0	0	0	0
BG_00560	0	0	0	0
BG_00561	0	0	0	0
BG_00562	0	0	0	0
BG_00563	0	0	0	0
BG_00564	0	0	0	0
BG_00565	0	0	0	0
BG_00566	0	0	0	0
BG_00567	0	0	0	0
BG_00568	0	0	0	0
BG_00569	0	0	0	0
BG_00570	0	0	0	0
BG_00571	0	0	0	0
BG_00572	0	0	0	0
BG_00573	0	0	0	0
BG_00574	0	0	0	0
BG_00575	0	0	0	0
BG_00576	0	0	0	0
BG_00577	0	0	0	0
BG_00578	0	0	0	0
BG_00579	0	0	0	0
BG_00580	0	0	0	0
BG_00581	0	0	0	0
BG_00582	0	0	0	0
BG_00583	0	0	0	0
BG_00584	0	0	0	0
BG_00585	0	0	0	0
BG_00586	0	0	0	0
BG_00587	0	0	0	0
BG_00588	0	0	0	0
BG_00589	0	0	0	0
BG_00590	0	0	0	0
BG_00591	0	0	0	0
BG_00592	0	0	0	0
BG_00593	0	0	0	0
BG_00594	0	0	0	0
BG_00595	0	0	0	0
BG_00596	0	0	0	0
BG_00597	0	0	0	0
BG_00598	0	0	0	0
BG_00599	0	0	0	0
BG_00600	0	0	0	0
BG_00601	0	0	0	0
BG_00602	0	0	0	0
BG_00603	0	0	0	0
BG_00604	0	0	0	0
BG_00605	0	0	0	0
BG_00606	0	0	0	0
BG_00607	0	0	0	0
BG_00608	0	0	0	0
BG_00609	0	0	0	0
BG_00610	0	0	0	0
BG_00611	0	0	0	0
BG_00612	0	0	0	0
BG_00613	0	0	0	0
BG_00614	0	0	0	0
BG_00615	0	0	0	0
BG_00616	0	0	0	0
BG_00617	0	0	0	0
BG_00618	0	0	0	0
BG_00619	0	0	0	0
BG_00620	0	0	0	0
BG_00621	0	0	0	0
BG_00622	0	0	0	0
BG_00623	0	0	0	0
BG_00624	0	0	0	0
BG_00625	0	0	0	0
BG_00626	0	0	0	0
BG_00627	0	0	0	0
BG_00628	0	0	0	0
BG_00629	0	0	0	0
BG_00630	0	0	0	0
BG_00631	0	0	0	0
BG_00632	0	0	0	0
BG_00633	0	0	0	0
BG_00634	0	0	0	0
BG_00635	0	0	0	0
BG_00636	0	0	0	0
BG_00637	0	0	0	0
BG_00638	0	0	0	0
BG_00639	0	0	0	0
BG_00640	0	0	0	0
BG_00641	0	0	0	0
BG_00642	0	0	0	0
BG_00643	0	0	0	0
BG_00644	0	0	0	0
BG_00645	0	0	0	0
BG_00646	0	0	0	0
BG_00647	0	0	0	0
BG_00648	0	0	0	0
BG_00649	0	0	0	0
BG_00650	0	0	0	0
BG_00651	0	0	0	0
BG_00652	0	0	0	0
BG_00653	0	0	0	0
BG_00654	0	0	0	0
BG_00655	0	0	0	0
BG_00656	0	0	0	0
BG_00657	0	0	0	0
BG_00658	0	0	0	0
BG_00659	0	0	0	0
BG_00660	0	0	0	0
BG_00661	0	0	0	0
BG_00662	0	0	0	0
BG_00663	0	0	0	0
BG_00664	0	0	0	0
BG_00665	0	0	0	0
BG_00666	0	0	0	0
BG_00667	0	0	0	0
BG_00668	0	0	0	0
BG_00669	0	0	0	0
BG_00670	0	0	0	0
BG_00671	0	0	0	0
BG_00672	0	0	0	0
BG_00673	0	0	0	0
BG_00674	0	0	0	0
BG_00675	0	0	0	0
BG_00676	0	0	0	0
BG_00677	0	0	0	0
BG_00678	0	0	0	0
BG_00679	0	0	0	0
BG_00680	0	0	0	0
BG_00681	0	0	0	0
BG_00682	0	0	0	0
BG_00683	0	0	0	0
BG_00684	0	0	0	0
BG_00685	0	0	0	0
BG_00686	0	0	0	0
BG_00687	0	0	0	0
BG_00688	0	0	0	0
BG_00689	0	0	0	0
BG_00690	0	0	0	0
BG_00691	0	0	0	0
BG_00692	0	0	0	0
BG_00693	0	0	0	0
BG_00694	0	0	0	0
BG_00695	0	0	0	0
BG_00696	0	0	0	0
BG_00697	0	0	0	0
BG_00698	0	0	0	0
BG_00699	0	0	0	0
BG_00700	0	0	0	0
BG_00701	0	0	0	0
BG_00702	0	0	0	0
BG_00703	0	0	0	0
BG_00704	0	0	0	0
BG_00705	0	0	0	0
BG_00706	0	0	0	0
BG_00707	0	0	0	0
BG_00708	0	0	0	0
BG_00709	0	0	0	0
BG_00710	0	0	0	0
BG_00711	0	0	0	0
BG_00712	0	0	0	0
BG_00713	0	0	0	0
BG_00714	0	0	0	0
BG_00715	0	0	0	0
BG_00716	0	0	0	0
BG_00717	0	0	0	0
BG_00718	0	0	0	0
BG_00719	0	0	0	0
BG_00720	0	0	0	0
BG_00721	0	0	0	0
BG_00722	0	0	0	0
BG_00723	0	0	0	0
BG_00724	0	0	0	0
BG_00725	0	0	0	0
BG_00726	0	0	0	0
BG_00727	0	0	0	0
BG_00728	0	0	0	0
BG_00729	0	0	0	0
BG_00730	0	0	0	0
BG_00731	0	0	0	0
BG_00732	0	0	0	0
BG_00733	0	0	0	0
BG_00734	0	0	0	0
BG_00735	0	0	0	0
BG_00736	0	0	0	0
BG_00737	0	0	0	0
BG_00738	0	0	0	0
BG_00739	0	0	0	0
BG_00740	0	0	0	0
BG_00741	0	0	0	0
BG_00742	0	0	0	0
BG_00743	0	0	0	0
BG_00744	0	0	0	0
BG_00745	0	0	0	0
BG_00746	0	0	0	0
BG_00747	0	0	0	0
BG_00748	0	0	0	0
BG_00749	0	0	0	0
BG_00750	0	0	0	0
BG_00751	0	0	0	0
BG_00752	0	0	0	0
BG_00753	0	0	0	0
BG_00754	0	0	0	0
BG_00755	0	0	0	0
BG_00756	0	0	0	0
BG_00757	0	0	0	0
BG_00758	0	0	0	0
BG_00759	0	0	0	0
BG_00760	0	0	0	0
BG_00761	0	0	0	0
BG_00762	0	0	0	0
BG_00763	0	0	0	0
BG_00764	0	0	0	0
BG_00765	0	0	0	0
BG_00766	0	0	0	0
BG_00767	0	0	0	0
BG_00768	0	0	0	0
BG_00769	0	0	0	0
BG_00770	0	0	0	0
BG_00771	0	0	0	0
BG_00772	0	0	0	0
BG_00773	0	0	0	0
BG_00774	0	0	0	0
BG_00775	0	0	0	0
BG_00776	0	0	0	0
BG_00777	0	0	0	0
BG_00778	0	0	0	0
BG_00779	0	0	0	0
BG_00780	0	0	0	0
BG_00781	0	0	0	0
BG_00782	0	0	0	0
BG_00783	0	0	0	0
BG_00784	0	0	0	0
BG_00785	0	0	0	0
BG_00786	0	0	0	0
BG_00787	0	0	0	0
BG_00788	0	0	0	0
BG_00789	0	0	0	0
BG_00790	0	0	0	0
BG_00791	0	0	0	0
BG_00792	0	0	0	0
BG_00793	0	0	0	0
BG_00794	0	0	0	0
BG_00795	0	0	0	0
BG_00796	0	0	0	0
BG_00797	0	0	0	0
BG_00798	0	0	0	0
BG_00799	0	0	0	0
BG_00800	0	0	0	0
BG_00801	0	0	0	0
BG_00802	0	0	0	0
BG_00803	0	0	0	0
BG_00804	0	0	0	0
BG_00805	0	0	0	0
BG_00806	0	0	0	0
BG_00807	0	0	0	0
BG_00808	0	0	0	0
BG_00809	0	0	0	0
BG_00810	0	0	0	0
BG_00811	0	0	0	0
BG_00812	0	0	0	0
BG_00813	0	0	0	0
BG_00814	0	0	0	0
BG_00815	0	0	0	0
BG_00816	0	0	0	0
BG_00817	0	0	0	0
BG_00818	0	0	0	0
BG_00819	0	0	0	0
BG_00820	0	0	0	0
BG_00821	0	0	0	0
BG_00822	0	0	0	0
BG_00823	0	0	0	0
BG_00824	0	0	0	0
BG_00825	0	0	0	0
BG_00826	0	0	0	0
BG_00827	0	0	0	0
BG_00828	0	0	0	0
BG_00829	0	0	0	0
BG_00830	0	0	0	0
BG_00831	0	0	0	0
BG_00832	0	0	0	0
BG_00833	0	0	0	0
BG_00834	0	0	0	0
BG_00835	0	0	0	0
BG_00836	0	0	0	0
BG_00837	0	0	0	0
BG_00838	0	0	0	0
BG_00839	0	0	0	0
BG_00840	0	0	0	0
BG_00841	0	0	0	0
BG_00842	0	0	0	0
BG_00843	0	0	0	0
BG_00844	0	0	0	0
BG_00845	0	0	0	0
BG_00846	0	0	0	0
BG_00847	0	0	0	0
BG_00848	0	0	0	0
BG_00849	0	0	0	0
BG_00850	0	0	0	0
BG_00851	0	0	0	0
BG_00852	0	0	0	0
BG_00853	0	0	0	0
BG_00854	0	0	0	0
BG_00855	0	0	0	0
BG_00856	0	0	0	0
BG_00857	0	0	0	0
BG_00858	0	0	0	0
