Title,Type,Netflix,HBO_Max,Disney_Plus,Amazon_Prime_Video,Apple_TV_Plus,Paramount_Plus,Hulu,Peacock
Boardwalk Empire,Series,0,1,0,0,0,0,0,0
Bob's Burgers,Series,0,0,1,0,0,0,1,0
Bohemian Rhapsody,Movie,0,0,1,0,0,0,1,0
Borat Subsequent Moviefilm,Movie,0,0,0,1,0,0,0,0
Brave New World,Series,0,0,0,0,0,0,0,1
Braveheart,Movie,0,0,0,1,0,1,0,0
Breaking Bad,Series,1,0,0,1,0,0,0,0
Bridgerton,Series,1,0,0,0,0,0,0,0
Brooklyn Nine-Nine,Series,1,0,0,0,0,0,1,1
Buffy the Vampire Slayer,Series,0,0,1,1,0,0,1,0
Bugonia,Movie,1,0,0,0,1,0,0,0
Bupkis,Series,0,0,0,0,0,0,0,1
CODA,Movie,0,0,0,0,1,0,0,0
Calls,Series,0,0,0,0,1,0,0,0
Carnival Row,Series,0,0,0,1,0,0,0,0
Castle Rock,Series,0,0,0,0,0,0,1,0
Catch Me If You Can,Movie,1,0,0,1,0,1,0,0
Chernobyl,Series,0,1,0,0,0,0,0,0
Cherry,Movie,0,0,0,0,1,0,0,0
Chicago Fire,Series,0,0,0,0,0,0,1,1
Chicago PD,Series,0,0,0,0,0,0,1,1
Citadel,Series,0,0,0,1,0,0,0,0
Cobra Kai,Series,1,0,0,0,0,0,0,0
Cocaine Bear,Movie,0,0,0,0,0,0,0,1
Coco,Movie,0,0,1,0,0,0,0,0
Coming 2 America,Movie,0,0,0,1,0,0,0,0
Conclave,Movie,0,0,0,1,0,0,0,1
Conversations with Friends,Series,0,0,0,0,0,0,1,0
Creed III,Movie,0,0,0,1,0,0,0,0
Criminal Minds,Series,0,0,0,1,0,1,0,0
Cruella,Movie,0,0,1,0,0,0,0,0
Curb Your Enthusiasm,Series,0,1,0,0,0,0,0,0
Dahmer,Series,1,0,0,0,0,0,0,0
Daisy Jones & The Six,Series,0,0,0,1,0,0,0,0
Daredevil: Born Again,Series,0,0,1,0,0,0,0,0
Dark,Series,1,0,0,0,0,0,0,0
Dark Matter,Series,0,0,0,0,1,0,0,0
Dead Boy Detectives,Series,1,0,0,0,0,0,0,0
Deadpool & Wolverine,Movie,0,0,1,0,0,0,0,0
Defending Jacob,Series,0,0,0,0,1,0,0,0
Despicable Me,Movie,1,0,0,0,0,0,0,1
Dexter,Series,0,0,0,1,0,1,0,0
Dexter: New Blood,Series,0,0,0,0,0,1,1,0
Die Hard,Movie,0,0,1,0,0,0,1,0
Die Hard 2,Movie,0,0,1,0,0,0,1,0
Difficult People,Series,0,0,0,0,0,0,1,0
Dirty Dancing,Movie,1,0,0,1,0,0,1,1
Disclaimer,Series,0,0,0,0,1,0,0,0
Don't Look Up,Movie,1,0,0,0,0,0,0,0
Doom Patrol,Series,0,1,0,0,0,0,0,0
Dopesick,Series,0,0,0,0,0,0,1,0
Downton Abbey,Series,0,0,0,1,0,0,0,1
Dr. Death,Series,0,0,0,0,0,0,0,1
Dune,Movie,0,1,0,0,0,0,0,0
Dune: Part Two,Movie,0,1,0,0,0,0,0,0
Dune: Prophecy,Series,0,1,0,0,0,0,0,0
Dungeons & Dragons: Honor Among Thieves,Movie,0,0,0,0,0,1,0,0
Dunkirk,Movie,0,1,0,1,0,0,0,0
E.T. the Extra-Terrestrial,Movie,0,0,0,1,0,0,0,1
Echo,Series,0,0,1,0,0,0,0,0
Elemental,Movie,0,0,1,0,0,0,0,0
Emancipation,Movie,0,0,0,0,1,0,0,0
Emilia Perez,Movie,1,0,0,0,0,0,0,0
Emily in Paris,Series,1,0,0,0,0,0,0,0
Encanto,Movie,0,0,1,0,0,0,0,0
Enola Holmes,Movie,1,0,0,0,0,0,0,0
Enola Holmes 2,Movie,1,0,0,0,0,0,0,0
Euphoria,Series,0,1,0,0,0,0,0,0
Everything Everywhere All at Once,Movie,1,0,0,1,0,0,0,0
Evil,Series,0,0,0,0,0,1,0,0
Evil Dead Rise,Movie,0,1,0,0,0,0,0,0
Extraction,Movie,1,0,0,0,0,0,0,0
Extraction 2,Movie,1,0,0,0,0,0,0,0
Fallout,Series,0,0,0,1,0,0,0,0
Family Guy,Series,0,0,1,0,0,0,1,0
Fantastic Beasts and Where to Find Them,Movie,0,1,0,0,0,0,0,1
Fantastic Beasts: Crimes of Grindelwald,Movie,0,1,0,0,0,0,0,1
Fargo,Series,1,0,0,0,0,0,1,0
Fast X,Movie,0,0,0,1,0,0,0,1
Fatal Attraction,Series,0,0,0,0,0,1,0,0
Ferrari,Movie,1,0,0,0,0,0,1,0
Ferris Bueller's Day Off,Movie,1,0,0,1,0,1,0,1
Fight Club,Movie,0,0,1,0,0,0,1,0
Fight or Flight,Movie,0,0,0,0,0,1,0,0
Finch,Movie,0,0,0,0,1,0,0,0
Fire Island,Movie,0,0,0,0,0,0,1,0
Five Nights at Freddy's,Movie,0,0,0,0,0,0,0,1
Fleabag,Series,0,0,0,1,0,0,0,0
Fleishman Is in Trouble,Series,0,0,0,0,0,0,1,0
Fly Me to the Moon,Movie,0,0,0,0,1,0,0,0
Footloose,Movie,1,0,0,1,0,1,0,1
For All Mankind,Series,0,0,0,0,1,0,0,0
Forrest Gump,Movie,0,0,0,1,0,1,0,0
Foundation,Series,0,0,0,0,1,0,0,0
Frankenstein,Movie,0,1,0,0,0,0,0,0
Frasier,Series,0,0,0,0,0,1,0,0
Fresh,Movie,0,0,0,0,0,0,1,0
Friends,Series,1,1,0,0,0,0,0,0
From,Series,0,0,0,0,0,1,0,0
Frozen,Movie,0,0,1,0,0,0,0,0
Frozen II,Movie,0,0,1,0,0,0,0,0
Furiosa: A Mad Max Saga,Movie,0,1,0,0,0,0,0,0
Futurama,Series,0,0,0,0,0,0,1,0
Game of Thrones,Series,0,1,0,0,0,0,0,0
Gen V,Series,0,0,0,1,0,0,0,0
George & Tammy,Series,0,0,0,0,0,1,0,0
Get Out,Movie,1,0,0,1,0,0,0,1
Ghostbusters,Movie,1,1,0,1,0,0,1,0
Ghostbusters: Afterlife,Movie,1,1,0,1,0,0,1,0
Ghosted,Movie,0,0,0,0,1,0,0,0
Ginny & Georgia,Series,1,0,0,0,0,0,0,0
Gladiator,Movie,0,0,0,1,0,1,0,0
Gladiator II,Movie,0,0,0,0,0,1,0,0
Glass Onion,Movie,1,0,0,0,0,0,0,0
Godzilla x Kong: The New Empire,Movie,0,1,0,0,0,0,0,0
Gone Girl,Movie,1,0,1,0,0,0,1,0
"Good Luck to You, Leo Grande",Movie,0,0,0,0,0,0,1,0
Good Omens,Series,0,0,0,1,0,0,0,0
Goodfellas,Movie,1,1,0,1,0,0,0,0
Grease,Movie,1,0,0,1,0,1,1,0
Grease: Rise of the Pink Ladies,Series,0,0,0,0,0,1,0,0
Grey's Anatomy,Series,1,0,0,0,0,0,1,0
Greyhound,Movie,0,0,0,0,1,0,0,0
Guardians of the Galaxy Vol. 3,Movie,0,0,1,0,0,0,0,0
Hacks,Series,0,1,0,0,0,0,0,0
Halo,Series,0,0,0,0,0,1,0,0
Hanna,Series,0,0,0,1,0,0,0,0
Hannibal,Series,0,0,0,1,0,0,1,0
Harley Quinn,Series,0,1,0,0,0,0,0,0
Harry Potter and the Chamber of Secrets,Movie,0,1,0,1,0,0,0,1
Harry Potter and the Deathly Hallows Part 1,Movie,0,1,0,1,0,0,0,1
Harry Potter and the Deathly Hallows Part 2,Movie,0,1,0,1,0,0,0,1
Harry Potter and the Goblet of Fire,Movie,0,1,0,1,0,0,0,1
Harry Potter and the Half-Blood Prince,Movie,0,1,0,1,0,0,0,1
Harry Potter and the Order of the Phoenix,Movie,0,1,0,1,0,0,0,1
Harry Potter and the Prisoner of Azkaban,Movie,0,1,0,1,0,0,0,1
Harry Potter and the Sorcerer's Stone,Movie,0,1,0,1,0,0,0,1
Haunted Mansion,Movie,0,0,1,0,0,0,0,0
Hawkeye,Series,0,0,1,0,0,0,0,0
Heart of Stone,Movie,1,0,0,0,0,0,0,0
Heartstopper,Series,1,0,0,0,0,0,0,0
High School Musical: The Musical: The Series,Series,0,0,1,0,0,0,0,0
Hijack,Series,0,0,0,0,1,0,0,0
Hit Man,Movie,1,0,0,0,0,0,0,0
Home Alone,Movie,0,0,1,1,0,0,1,0
Home Alone 2,Movie,0,0,1,1,0,0,1,0
Homecoming,Series,0,0,0,1,0,0,0,0
Homeland,Series,0,0,0,0,0,1,1,0
Horizon: An American Saga,Movie,0,1,0,1,0,0,0,0
House,Series,0,0,0,1,0,0,0,1
House of the Dragon,Series,0,1,0,0,0,0,0,0
How I Met Your Mother,Series,0,0,0,1,0,0,1,0
How to Train Your Dragon,Movie,0,0,0,0,0,0,0,1
Hunters,Series,0,0,0,1,0,0,0,0
IF,Movie,0,0,0,0,0,1,0,0
IT,Movie,0,1,0,1,0,0,0,0
IT Chapter Two,Movie,0,1,0,1,0,0,0,0
Inception,Movie,0,1,0,1,0,0,0,0
Indiana Jones and the Dial of Destiny,Movie,0,0,1,0,0,0,0,0
Indiana Jones: Last Crusade,Movie,1,0,1,1,0,1,0,0
Indiana Jones: Raiders of the Lost Ark,Movie,1,0,1,1,0,1,0,0
Indiana Jones: Temple of Doom,Movie,1,0,1,1,0,1,0,0
Industry,Series,0,1,0,0,0,0,0,0
Inside Out 2,Movie,0,0,1,0,0,0,0,0
Interstellar,Movie,0,1,0,1,0,0,0,0
Invasion,Series,0,0,0,0,1,0,0,0
Inventing Anna,Series,1,0,0,0,0,0,0,0
Invincible,Series,0,0,0,1,0,0,0,0
Ironheart,Series,0,0,1,0,0,0,0,0
It Ends with Us,Movie,0,1,0,0,0,0,0,0
It's Always Sunny in Philadelphia,Series,1,0,0,0,0,0,1,0
Jack Ryan,Series,0,0,0,1,0,0,0,0
Jaws,Movie,0,0,0,1,0,0,0,1
Joe vs Carole,Series,0,0,0,0,0,0,0,1
John Wick,Movie,1,0,0,0,0,0,1,0
John Wick: Chapter 2,Movie,1,0,0,0,0,0,1,0
John Wick: Chapter 3,Movie,1,0,0,0,0,0,1,0
John Wick: Chapter 4,Movie,1,0,0,0,0,0,1,0
Joker,Movie,0,1,0,0,0,0,0,0
Joker: Folie a Deux,Movie,0,1,0,0,0,0,0,0
Jumanji: Welcome to the Jungle,Movie,1,1,0,1,0,0,1,0
Jurassic Park,Movie,0,0,0,1,0,0,0,1
Jurassic World,Movie,0,0,0,1,0,0,0,1
Jurassic World Rebirth,Movie,0,0,0,0,0,0,0,1
Kaos,Series,1,0,0,0,0,0,0,0
Killers of the Flower Moon,Movie,0,0,0,0,1,0,0,0
Kingdom of the Planet of the Apes,Movie,0,0,1,0,0,0,0,0
Knives Out,Movie,1,0,0,0,0,0,0,0
Kraven the Hunter,Movie,1,0,0,1,0,0,0,0
La La Land,Movie,1,0,0,1,0,0,1,0
Landman,Series,0,0,0,0,0,1,0,0
Law & Order,Series,0,0,0,0,0,0,1,1
Law & Order: SVU,Series,0,0,0,0,0,0,1,1
Lawmen: Bass Reeves,Series,0,0,0,0,0,1,0,0
Leave the World Behind,Movie,1,0,0,0,0,0,0,0
Lessons in Chemistry,Series,0,0,0,0,1,0,0,0
Lilo & Stitch,Movie,0,0,1,0,0,0,0,0
Lioness,Series,0,0,0,0,0,1,0,0
Lisey's Story,Series,0,0,0,0,1,0,0,0
Little America,Series,0,0,0,0,1,0,0,0
Little Fires Everywhere,Series,0,0,0,0,0,0,1,0
Lockerbie,Series,1,0,0,0,0,0,0,0
Loki,Series,0,0,1,0,0,0,0,0
Looking for Alaska,Series,0,0,0,0,0,0,1,0
Loot,Series,0,0,0,0,1,0,0,0
Lost,Series,0,0,1,0,0,0,1,0
Lovecraft Country,Series,0,1,0,0,0,0,0,0
Luca,Movie,0,0,1,0,0,0,0,0
Lupin,Series,1,0,0,0,0,0,0,0
Luther: The Fallen Sun,Movie,1,0,0,0,0,0,0,0
M3GAN,Movie,0,0,0,0,0,0,0,1
Mad Max: Fury Road,Movie,0,1,0,1,0,0,0,0
Maestro,Movie,1,0,0,0,0,0,0,0
Maid,Series,1,0,0,0,0,0,0,0
Malcolm in the Middle,Series,0,0,1,1,0,0,1,0
Manifest,Series,1,0,0,0,0,0,0,0
Marcel the Shell with Shoes On,Movie,0,0,0,1,0,0,0,0
Mare of Easttown,Series,0,1,0,0,0,0,0,0
Marriage Story,Movie,1,0,0,0,0,0,0,0
Masters of the Air,Series,0,0,0,0,1,0,0,0
May December,Movie,1,0,0,0,0,0,0,0
Mayor of Kingstown,Series,0,0,0,0,0,1,0,0
Mean Girls,Movie,1,0,0,1,0,1,0,0
Megalopolis,Movie,0,0,0,1,0,0,0,0
Mickey 17,Movie,0,0,0,1,0,0,0,0
Mindhunter,Series,1,0,0,0,0,0,0,0
Minions,Movie,1,0,0,0,0,0,0,1
Mission: Impossible - Dead Reckoning,Movie,0,0,0,0,0,1,0,0
Moana 2,Movie,0,0,1,0,0,0,0,0
Modern Family,Series,0,0,1,0,0,0,1,1
Monarch: Legacy of Monsters,Series,0,0,0,0,1,0,0,0
Money Heist,Series,1,0,0,0,0,0,0,0
Monk,Series,0,0,0,1,0,0,0,1
Moon Knight,Series,0,0,1,0,0,0,0,0
Mr. & Mrs. Smith,Series,0,0,0,1,0,0,0,0
Mr. Robot,Series,0,0,0,1,0,0,0,1
Mrs. Davis,Series,0,0,0,0,0,0,0,1
Ms. Marvel,Series,0,0,1,0,0,0,0,0
Mufasa: The Lion King,Movie,0,0,1,0,0,0,0,0
My Spy,Movie,0,0,0,1,0,0,0,0
Mythic Quest,Series,0,0,0,0,1,0,0,0
NCIS,Series,1,0,0,0,0,1,0,0
Napoleon,Movie,0,0,0,0,1,0,0,0
Narcos,Series,1,0,0,0,0,0,0,0
National Treasure: Edge of History,Series,0,0,1,0,0,0,0,0
Ne Zha 2,Movie,0,1,0,0,0,0,0,0
Never Have I Ever,Series,1,0,0,0,0,0,0,0
New Girl,Series,1,0,1,0,0,0,1,0
Night Sky,Series,0,0,0,1,0,0,0,0
Night at the Museum,Movie,0,0,1,1,0,0,1,0
Nimona,Movie,1,0,0,0,0,0,0,0
Nine Perfect Strangers,Series,0,0,0,0,0,0,1,0
No Country for Old Men,Movie,0,0,0,1,0,1,0,0
No One Will Save You,Movie,0,0,0,0,0,0,1,0
Nobody Wants This,Series,1,0,0,0,0,0,0,0
Nope,Movie,0,0,0,1,0,0,0,1
Normal People,Series,0,0,0,0,0,0,1,0
Nosferatu,Movie,0,0,1,0,0,0,1,0
Not Okay,Movie,0,0,0,0,0,0,1,0
Nouvelle Vague,Movie,1,0,0,0,0,0,0,0
Nyad,Movie,1,0,0,0,0,0,0,0
ONE HUNDRED YEARS OF SOLITUDE,Series,1,0,0,0,0,0,0,0
Obi-Wan Kenobi,Series,0,0,1,0,0,0,0,0
Ocean's Eleven,Movie,1,1,0,0,0,0,0,0
Ocean's Thirteen,Movie,1,1,0,0,0,0,0,0
Ocean's Twelve,Movie,1,1,0,0,0,0,0,0
One Battle After Another,Movie,0,1,0,0,0,0,0,0
One Night in Miami,Movie,0,0,0,1,0,0,0,0
One Piece,Series,1,0,0,0,0,0,0,0
One of Us Is Lying,Series,0,0,0,0,0,0,0,1
Only Murders in the Building,Series,0,0,1,0,0,0,1,0
Oppenheimer,Movie,0,1,0,0,0,0,0,0
Our Flag Means Death,Series,0,1,0,0,0,0,0,0
Outer Banks,Series,1,0,0,0,0,0,0,0
Outer Range,Series,0,0,0,1,0,0,0,0
Oz,Series,0,1,0,0,0,0,0,0
Ozark,Series,1,0,0,0,0,0,0,0
PEN15,Series,0,0,0,0,0,0,1,0
Pachinko,Series,0,0,0,0,1,0,0,0
Paddington in Peru,Movie,1,0,0,0,0,0,0,0
Pam & Tommy,Series,0,0,0,0,0,0,1,0
Paper Girls,Series,0,0,0,1,0,0,0,0
Parks and Recreation,Series,0,0,0,0,0,0,0,1
Past Lives,Movie,1,0,0,1,0,0,0,0
Peacemaker,Series,0,1,0,0,0,0,0,0
Peaky Blinders,Series,1,0,0,0,0,0,0,0
Peaky Blinders: The Immortal Man,Movie,1,0,0,0,0,0,0,0
Percy Jackson and the Olympians,Series,0,0,1,0,0,0,0,0
Physical,Series,0,0,0,0,1,0,0,0
Pitch Perfect: Bumper in Berlin,Series,0,0,0,0,0,0,0,1
Poker Face,Series,0,0,0,0,0,0,0,1
Poor Things,Movie,0,0,1,0,0,0,1,0
Presumed Innocent,Series,0,0,0,0,1,0,0,0
Pretty Woman,Movie,1,0,1,1,0,0,1,0
Prey,Movie,0,0,0,0,0,0,1,0
Priscilla,Movie,0,0,0,1,0,0,1,0
Project Hail Mary,Movie,0,0,0,0,1,0,0,0
Psych,Series,0,0,0,1,0,0,0,1
Pulp Fiction,Movie,0,0,0,1,0,1,0,0
Queer as Folk,Series,0,0,0,0,0,0,0,1
Rabbit Hole,Series,0,0,0,0,0,1,0,0
Raised by Wolves,Series,0,1,0,0,0,0,0,0
Ray Donovan,Series,0,0,0,1,0,1,0,0
Raya and the Last Dragon,Movie,0,0,1,0,0,0,0,0
Reacher,Series,0,0,0,1,0,0,0,0
Rebel Moon,Movie,1,0,0,0,0,0,0,0
Red Notice,Movie,1,0,0,0,0,0,0,0
Renfield,Movie,0,0,0,0,0,0,0,1
Reservation Dogs,Series,0,0,0,0,0,0,1,0
Rick and Morty,Series,0,1,0,0,0,0,1,0
Ripley,Series,1,0,0,0,0,0,0,0
Road House,Movie,0,0,0,1,0,0,0,0
Rocky,Movie,1,0,0,1,0,1,0,1
Rocky II,Movie,1,0,0,1,0,1,0,1
Roma,Movie,1,0,0,0,0,0,0,0
Rosaline,Movie,0,0,0,0,0,0,1,0
Rustin,Movie,1,0,0,0,0,0,0,0
Saltburn,Movie,0,0,0,1,0,0,0,0
Saved by the Bell,Series,0,0,0,0,0,0,0,1
Saving Private Ryan,Movie,0,0,0,1,0,1,0,0
Schindler's List,Movie,0,0,0,1,0,0,0,1
Schitt's Creek,Series,1,0,0,0,0,0,1,0
Scream,Movie,0,0,0,1,0,1,0,0
Scream VI,Movie,0,0,0,0,0,1,0,0
Scrubs,Series,0,0,1,0,0,0,1,1
Secret Invasion,Series,0,0,1,0,0,0,0,0
See,Series,0,0,0,0,1,0,0,0
Seinfeld,Series,1,0,0,0,0,0,0,1
Senna,Series,1,0,0,0,0,0,0,0
Servant,Series,0,0,0,0,1,0,0,0
Seven Dials,Series,1,0,0,0,0,0,0,0
Severance,Series,0,0,0,0,1,0,0,0
Shadow and Bone,Series,1,0,0,0,0,0,0,0
She-Hulk: Attorney at Law,Series,0,0,1,0,0,0,0,0
Shogun,Series,0,0,0,0,0,0,1,0
Shrek,Movie,1,0,0,0,0,0,0,1
Shrek 2,Movie,1,0,0,0,0,0,0,1
Shrinking,Series,0,0,0,0,1,0,0,0
Silicon Valley,Series,0,1,0,0,0,0,0,0
Silo,Series,0,0,0,0,1,0,0,0
Sinners,Movie,0,1,0,0,0,0,0,0
Six Feet Under,Series,0,1,0,0,0,0,0,0
Skeleton Crew,Series,0,0,1,0,0,0,0,0
Slow Horses,Series,0,0,0,0,1,0,0,0
Smile,Movie,0,0,0,0,0,1,0,0
Smile 2,Movie,0,0,0,0,0,1,0,0
Society of the Snow,Movie,1,0,0,0,0,0,0,0
Solar Opposites,Series,0,0,0,0,0,0,1,0
Somebody Somewhere,Series,0,1,0,0,0,0,0,0
Sonic the Hedgehog 3,Movie,0,0,0,0,0,1,0,0
Sorry Baby,Movie,0,1,0,0,0,0,0,0
Soul,Movie,0,0,1,0,0,0,0,0
Sound of Metal,Movie,0,0,0,1,0,0,0,0
South Park,Series,0,1,0,0,0,1,0,0
Spider-Man: Across the Spider-Verse,Movie,1,0,0,1,0,0,0,0
Spider-Man: No Way Home,Movie,1,0,1,1,0,0,0,0
Squid Game,Series,1,0,0,0,0,0,0,0
Star Trek: Discovery,Series,0,0,0,0,0,1,0,0
Star Trek: Lower Decks,Series,0,0,0,0,0,1,0,0
Star Trek: Picard,Series,0,0,0,0,0,1,0,0
Star Trek: Strange New Worlds,Series,0,0,0,0,0,1,0,0
Star Trek: The Motion Picture,Movie,1,0,0,1,0,1,0,1
Star Wars: The Force Awakens,Movie,0,0,1,0,0,0,0,0
Star Wars: The Last Jedi,Movie,0,0,1,0,0,0,0,0
Star Wars: The Rise of Skywalker,Movie,0,0,1,0,0,0,0,0
Stranger Things,Series,1,0,0,0,0,0,0,0
Succession,Series,0,1,0,0,0,0,0,0
Suits,Series,1,0,0,0,0,0,0,1
Super Pumped,Series,0,0,0,0,0,1,0,0
Superman,Movie,0,1,0,0,0,0,0,0
Supernatural,Series,1,1,0,1,0,0,0,0
Superstore,Series,0,0,0,0,0,0,1,1
Tales from the Loop,Series,0,0,0,1,0,0,0,0
Talk to Me,Movie,0,0,0,1,0,0,0,0
Ted,Series,0,0,0,0,0,0,0,1
Ted Lasso,Series,0,0,0,0,1,0,0,0
Teenage Mutant Ninja Turtles: Mutant Mayhem,Movie,0,0,0,0,0,1,0,0
Tell Me Lies,Series,0,0,0,0,0,0,1,0
Tenet,Movie,0,1,0,1,0,0,0,0
Terminator 2: Judgment Day,Movie,1,1,0,1,0,0,1,1
Terrifier 3,Movie,0,0,0,1,0,0,0,0
Tetris,Movie,0,0,0,0,1,0,0,0
The Acolyte,Series,0,0,1,0,0,0,0,0
The Act,Series,0,0,0,0,0,0,1,0
The Adam Project,Movie,1,0,0,0,0,0,0,0
The Affair,Series,0,0,0,1,0,1,0,0
The Afterparty,Series,0,0,0,0,1,0,0,0
The Americans,Series,0,0,0,1,0,0,1,0
The Banker,Movie,0,0,0,0,1,0,0,0
The Batman,Movie,0,1,0,0,0,0,0,0
The Bear,Series,0,0,1,0,0,0,1,0
The Big Bang Theory,Series,1,1,0,0,0,0,0,1
The Blacklist,Series,1,0,0,0,0,0,0,1
The Book of Boba Fett,Series,0,0,1,0,0,0,0,0
The Bourne Identity,Movie,0,0,0,1,0,0,0,1
The Bourne Ultimatum,Movie,0,0,0,1,0,0,0,1
The Boy and the Heron,Movie,1,1,0,0,0,0,0,0
The Boys,Series,0,0,0,1,0,0,0,0
The Breakfast Club,Movie,1,0,0,1,0,0,1,1
The Brutalist,Movie,0,0,0,1,1,0,0,0
The Conjuring,Movie,0,1,0,1,0,0,0,0
The Continental,Series,0,0,0,0,0,0,0,1
The Crown,Series,1,0,0,0,0,0,0,0
The Dark Knight,Movie,0,1,0,1,0,0,0,0
The Dark Knight Rises,Movie,0,1,0,1,0,0,0,0
The Departed,Movie,1,1,0,1,0,0,0,0
The Diplomat,Series,1,0,0,0,0,0,0,0
The Dropout,Series,0,0,0,0,0,0,1,0
The Expanse,Series,0,0,0,1,0,0,0,0
The Falcon and the Winter Soldier,Series,0,0,1,0,0,0,0,0
The Fall Guy,Movie,0,0,0,0,0,0,0,1
The Gilded Age,Series,0,1,0,0,0,0,0,0
The Godfather,Movie,0,0,0,1,0,1,0,0
The Godfather Part II,Movie,0,0,0,1,0,1,0,0
The Good Fight,Series,0,0,0,0,0,1,0,0
The Good Place,Series,1,0,0,0,0,0,0,1
The Grand Budapest Hotel,Movie,0,0,1,1,0,0,1,0
The Gray Man,Movie,1,0,0,0,0,0,0,0
The Great,Series,0,0,0,0,0,0,1,0
The Handmaid's Tale,Series,0,0,0,0,0,0,1,0
The Hobbit: An Unexpected Journey,Movie,1,1,0,1,0,0,0,0
The Hobbit: Battle of Five Armies,Movie,1,1,0,1,0,0,0,0
The Hobbit: Desolation of Smaug,Movie,1,1,0,1,0,0,0,0
The Holdovers,Movie,0,0,0,1,0,0,0,1
The Hunger Games,Movie,1,0,0,0,0,0,1,0
The Hunger Games: Catching Fire,Movie,1,0,0,0,0,0,1,0
The Idea of You,Movie,0,0,0,1,0,0,0,0
The Irishman,Movie,1,0,0,0,0,0,0,0
The Karate Kid,Movie,1,1,0,1,0,0,1,0
The Last of Us,Series,0,1,0,0,0,0,0,0
The Leftovers,Series,0,1,0,0,0,0,0,0
The Lincoln Lawyer,Series,1,0,0,0,0,0,0,0
The Little Mermaid,Movie,0,0,1,0,0,0,0,0
The Lord of the Rings: Fellowship,Movie,1,1,0,1,0,0,0,0
The Lord of the Rings: Return of the King,Movie,1,1,0,1,0,0,0,0
The Lord of the Rings: Two Towers,Movie,1,1,0,1,0,0,0,0
The Man Who Fell to Earth,Series,0,0,0,0,0,1,0,0
The Mandalorian,Series,0,0,1,0,0,0,0,0
